region,canton,total_pop,FRI,max_fsi,urban_ratio,building_count,min_rwi
Plateaux,Saligbé,14594.665427,0.13149348545442852,150.16928100585938,0.0,27.0,-0.823
Plateaux,Houdou,14667.223809000001,0.08202949017975282,153.67974853515625,0.0,0.0,-0.698
Plateaux,Djama,26605.779159,0.26131286180877966,157.71360778808594,0.04553580197599492,35.0,-0.867
Plateaux,Gnagna,13259.111084,0.27473117633471084,84.89617919921875,0.12307195783878015,91.0,-0.581
Plateaux,Katoré,11758.93238,0.07887926034933226,153.67974853515625,0.0,0.0,-0.721
Plateaux,Datcha,20923.8497,0.12098417461009442,87.20386505126953,0.0,21.0,-0.634
Plateaux,Akparé,15744.85796,0.08575018906137223,157.71360778808594,0.0,0.0,-1.083
Plateaux,Gléi,59482.574408,0.16312420487887588,157.71360778808594,0.008648134544742758,2.0,-0.738
Plateaux,Ountivou,42841.9212,0.1547083657313008,157.71360778808594,0.0,28.0,-1.026
Plateaux,Kpété-Béna,10441.35954,0.061103141313842084,78.30459594726562,0.0,0.0,-0.691
Plateaux,Tomégbé,8189.3016,0.0585828417415417,78.19351959228516,0.0,0.0,-0.778
Plateaux,Badou,20037.284469,0.06463434243931232,77.56816864013672,0.0,0.0,-0.585
Plateaux,Késsibo,8563.780886999999,0.060702574865437224,76.99199676513672,0.0,0.0,-0.605
Plateaux,Gbadi-N'kougna,6187.278221,0.0882078698737663,78.36701965332031,0.0,16.0,-0.725
Plateaux,Ekéto,8167.827566999999,0.06563080804228517,78.36701965332031,0.0,0.0,-0.791
Plateaux,Gobé,1916.5240549999999,0.028208434281204668,13.392861366271973,0.0,0.0,-0.486
Plateaux,Klabé-Efoukpa,15487.485298,0.07090210844747785,80.98175811767578,0.0,0.0,-0.719
Plateaux,Ounabé,5400.944773,0.03684453908839603,14.05369758605957,0.0,0.0,-0.453
Plateaux,Okou,9166.142149,0.06621749291871075,78.51517486572266,0.0,0.0,-0.727
Plateaux,Doumé,5260.488875,0.03876467229126046,15.59783935546875,0.0,0.0,-0.817
Centrale,Pagala-Gare,15610.030044,0.1135147288064978,83.76850891113281,0.0,20.0,-0.87
Centrale,Waragni,2978.43039,0.05840919640281945,80.62175750732422,0.0,0.0,-0.752
Centrale,Blitta-Village,77399.003289,0.1584684329099258,78.76758575439453,0.0,43.0,-0.805
Centrale,Blitta,98865.623566,0.1290804491974279,81.56193542480469,0.0,6.0,-0.835
Centrale,Yaloumbè,4472.736919,0.06290853358191624,80.72606658935547,0.0,0.0,-0.74
Centrale,Tchaloudè,6142.581077,0.06597784042565713,83.76850891113281,0.0,0.0,-0.688
Centrale,Doufouli,1751.418896,0.0570844945671546,82.37017822265625,0.0,0.0,-1.067
Centrale,Tcharè-Baou,7946.990846,0.07410134337461052,82.1636734008789,0.0,1.0,-0.657
Centrale,Koffiti,5804.60404,0.06695247894081967,82.60317993164062,0.0,0.0,-0.999
Centrale,Langabou,10845.751708,0.07916304340372357,148.54681396484375,0.0,0.0,-0.812
Centrale,Agbandi,5933.513762,0.07283061829575006,148.25067138671875,0.0,0.0,-1.05
Centrale,Tintchro,1570.676539,0.046382334713588796,79.89714050292969,0.0,0.0,-0.835
Centrale,Welly,7245.12017,0.06411055245716368,87.037841796875,0.0,0.0,-0.842
Centrale,Pagala-Village,2125.631945,0.0980103208061624,83.82452392578125,0.0,55.0,-0.784
Centrale,Tchifama,3008.9783939999998,0.07087468495829667,77.51309204101562,0.0,6.0,-0.638
