region,prefecture,canton,communaute_louvain,priority_score,FRI,total_pop
Plateaux,Kloto,Yokélé,7,35.9,0.088934092399315,7784.196287000001
Plateaux,Kloto,Tomé,7,34.1,0.0630604198548859,5752.222206
Plateaux,Kloto,Kpadapé,7,35.8,0.0852535539072843,7637.625256
Plateaux,Kloto,Womé,7,38.0,0.0687781539023938,5973.0141
Plateaux,Kloto,Gbalabé,7,31.3,0.0530421646441635,3104.84124
Plateaux,Kloto,Hanyigba,7,32.5,0.0591601197781556,5002.51248
Plateaux,Kloto,Lavié,7,34.1,0.0760237626188271,3665.581395
Plateaux,Kloto,Lavié-Apédomé,7,34.4,0.0786389333579261,3056.5544400000003
Plateaux,Kloto,Kpimé,7,36.5,0.1544337600604934,5920.15125
Plateaux,Kloto,Agomé-Yoh,7,29.5,0.0526710721171852,2786.14836
Plateaux,Kloto,Agomé-Tomégbé,7,31.2,0.0347394956233945,3496.05796
Plateaux,Kloto,Kouma,7,35.0,0.0553492469351186,10053.68632
Plateaux,Kpélé,Kpélé-Govié,2,36.2,0.0917520405311842,11038.306625
Plateaux,Kpélé,Kpélé-Novivé,2,39.5,0.0827827814958275,29004.495967000003
Plateaux,Kpélé,Kpélé-Akata,7,35.4,0.0661229357700612,5662.813675
Plateaux,Kpélé,Kpélé-Dawlotou,7,36.4,0.075191994732337,13154.682756
Plateaux,Kpélé,Kpélé-Nord,2,35.1,0.075954404089488,10294.197499000002
Plateaux,Kpélé,Kpélé-Dutoé,2,31.7,0.0598890264585656,4487.601402
Plateaux,Kpélé,Kpélé-Kamé,2,34.0,0.0683182626175935,9449.659212
Plateaux,Kpélé,Kpélé-Gbalédzé,2,32.9,0.0592882706200644,3793.3026
Plateaux,Kpélé,Kpélé-Centre,2,35.5,0.0923218080052301,8063.428464
Plateaux,Moyen-Mono,Tohoun,5,37.5,0.0838768920157815,18406.362561
Plateaux,Moyen-Mono,Tado,5,41.8,0.177969660809447,20067.795062
Plateaux,Moyen-Mono,Ahassomè,5,35.7,0.0732141832570871,6345.096891
Plateaux,Moyen-Mono,Katomé,5,35.6,0.0678197922035446,8271.114554
Plateaux,Moyen-Mono,Kpékplémé,5,41.2,0.1569257894823622,20879.864094
Plateaux,Moyen-Mono,Saligbé,5,39.0,0.1314934854544285,14594.665427
Plateaux,Ogou,Houdou,2,36.4,0.0820294901797528,14667.223809
Plateaux,Ogou,Djama,5,45.9,0.2613128618087796,26605.779159
Plateaux,Ogou,Gnagna,5,43.1,0.2747311763347108,13259.111084
Plateaux,Ogou,Katoré,5,36.0,0.0788792603493322,11758.93238
Plateaux,Ogou,Datcha,5,38.3,0.1209841746100944,20923.8497
Plateaux,Ogou,Akparé,5,38.8,0.0857501890613722,15744.85796
Plateaux,Ogou,Gléi,5,45.4,0.1631242048788758,59482.574408
Plateaux,Ogou,Ountivou,5,44.6,0.1547083657313008,42841.9212
Plateaux,Wawa,Kpété-Béna,2,35.0,0.061103141313842,10441.35954
Plateaux,Wawa,Tomégbé,2,35.1,0.0585828417415417,8189.3016
Plateaux,Wawa,Badou,2,35.7,0.0646343424393123,20037.284469
Plateaux,Wawa,Késsibo,2,34.2,0.0607025748654372,8563.780886999999
Plateaux,Wawa,Gbadi-N'kougna,2,35.7,0.0882078698737663,6187.278221
Plateaux,Wawa,Ekéto,2,35.4,0.0656308080422851,8167.827566999999
Plateaux,Wawa,Gobé,2,31.5,0.0282084342812046,1916.524055
Plateaux,Wawa,Klabé-Efoukpa,2,36.2,0.0709021084474778,15487.485298
Plateaux,Wawa,Ounabé,2,32.0,0.036844539088396,5400.944773
Plateaux,Wawa,Okou,2,35.2,0.0662174929187107,9166.142149
Plateaux,Wawa,Doumé,2,34.2,0.0387646722912604,5260.488875
Centrale,Blitta,Pagala-Gare,6,38.7,0.1135147288064978,15610.030044
Centrale,Blitta,Waragni,6,34.3,0.0584091964028194,2978.43039
Centrale,Blitta,Blitta-Village,6,47.8,0.1584684329099258,77399.003289
Centrale,Blitta,Blitta,6,49.5,0.1290804491974279,98865.623566
Centrale,Blitta,Yaloumbè,6,34.6,0.0629085335819162,4472.736919
Centrale,Blitta,Tchaloudè,6,34.6,0.0659778404256571,6142.581077
Centrale,Blitta,Doufouli,6,35.9,0.0570844945671546,1751.418896
Centrale,Blitta,Tcharè-Baou,6,35.0,0.0741013433746105,7946.990846
Centrale,Blitta,Koffiti,6,36.4,0.0669524789408196,5804.60404
Centrale,Blitta,Langabou,6,36.4,0.0791630434037235,10845.751708
Centrale,Blitta,Agbandi,6,36.9,0.07283061829575,5933.513762
Centrale,Blitta,Tintchro,6,34.1,0.0463823347135887,1570.676539
Centrale,Blitta,Welly,6,35.6,0.0641105524571636,7245.12017
Centrale,Blitta,Pagala-Village,6,35.9,0.0980103208061624,2125.631945
Centrale,Blitta,Tchifama,6,34.1,0.0708746849582966,3008.978394
Centrale,Blitta,Atchintsè,2,32.9,0.0499478906019631,2949.175123
Centrale,Blitta,Diguengué,6,32.1,0.031640546039944,837.524443
Centrale,Blitta,Yégué,6,31.2,0.0205545505503334,1160.824152
Centrale,Blitta,Dikpéléou,6,29.3,0.0074311613906342,997.901464
Centrale,Blitta,Katchenkè,6,33.4,0.045814962592401,1407.753851
Centrale,Blitta,M'Poti,6,33.7,0.0573619626912907,3439.196117
Centrale,Mô,Kagnigbara,3,32.5,0.0465637248759258,203.65336
Centrale,Mô,Boulohou,3,32.5,0.0538663342120799,1255.013831
Centrale,Mô,Djarkpanga,3,34.7,0.0584083478814021,2639.868328
Centrale,Mô,Saïboudè,3,33.5,0.0578580523908523,2357.287642
Centrale,Mô,Tindjasse,3,35.0,0.0696554592276523,2560.941002
Centrale,Sotouboua,Tabindè,3,35.4,0.0716294426392849,5424.643826
Centrale,Sotouboua,Sotouboua,3,40.5,0.1431602819733745,22142.211566
Centrale,Sotouboua,Kaniamboua,3,37.1,0.1136097417001861,1886.339247
Centrale,Sotouboua,Séssaro,3,36.9,0.0707572197445846,8780.183627999999
Centrale,Sotouboua,Tittigbe,3,34.9,0.0662059995957432,6432.900509
Centrale,Sotouboua,Aouda,3,37.1,0.0943331062220863,12398.803382
Centrale,Sotouboua,Adjengré,3,37.4,0.1041063867046261,13716.053796
Centrale,Sotouboua,Fazao,3,28.9,0.0408871708412971,17.222059
Centrale,Sotouboua,Kazaboua,6,34.8,0.0649514479198976,5480.986876
Centrale,Sotouboua,Bodjondè,3,34.8,0.062298128950825,1802.332236
Centrale,Sotouboua,Tchébébé,6,37.6,0.0849944059935758,11434.202398
Centrale,Tchamba,Affem,3,36.2,0.072200361504796,12120.848194
Centrale,Tchamba,Alibi I,3,36.3,0.0931839671321996,8947.997002
Centrale,Tchamba,Larini,3,45.0,0.242095591848631,19577.93677
Centrale,Tchamba,Kri-Kri,3,35.7,0.0647110052007914,5475.045428
Centrale,Tchamba,Tchamba,3,44.8,0.2408882202204571,51412.713723
Centrale,Tchamba,Bago,6,39.2,0.0826722196078944,27878.590835000003
Centrale,Tchamba,Koussountou,3,38.1,0.0807469489968419,24763.546913
Centrale,Tchamba,Balanka,3,36.0,0.0877686234774213,9922.117982
Centrale,Tchamba,Goubi,6,40.8,0.1560884164912735,14792.722882
Centrale,Tchamba,Kaboli,6,40.2,0.0931666347590303,33900.633549
Centrale,Tchaoudjo,Tchalo,3,36.1,0.0915101302571691,9271.720873
Centrale,Tchaoudjo,Kadambara,3,38.7,0.1081065485191038,16801.177174
Centrale,Tchaoudjo,Kparataou,3,39.5,0.1528745824558675,13737.243618
Centrale,Tchaoudjo,Sokodè (Komah),3,57.2,0.3759356550888721,85029.152294
Centrale,Tchaoudjo,Kpangalam,3,45.0,0.2130495112023384,41461.932723
Centrale,Tchaoudjo,Lama-Tessi,3,38.0,0.0800524513887016,22808.645453
Centrale,Tchaoudjo,Kéméni,3,34.2,0.0580737837057484,2322.320568
Centrale,Tchaoudjo,Aléhéridè,3,36.0,0.0713877570644503,5580.463766
Centrale,Tchaoudjo,Kolina,3,34.3,0.0678633081942281,4013.203054
Centrale,Tchaoudjo,Amaïde,3,35.5,0.0751198156929064,3632.559673
Centrale,Tchaoudjo,Wassarabo,3,35.2,0.0562607445230317,2406.042112
Centrale,Tchaoudjo,Kpassaouade,3,34.8,0.061040408253214,3560.7969350000003
Centrale,Tchaoudjo,Agouloudè,3,36.0,0.0724229428222643,12362.118122
Kara,Assoli,Dako (Daoude),0,34.9,0.0696083087516142,11084.88259
Kara,Assoli,Bouladè,0,36.5,0.0729021119593349,13207.208385999998
Kara,Assoli,Bafilo,0,43.2,0.1715554290724467,42954.934418
Kara,Assoli,Alédjo,0,37.7,0.1223291837538217,15079.118251999998
Kara,Assoli,Koumondè,0,29.8,0.0353563187462862,7096.055648
Kara,Assoli,Soudou,0,40.5,0.1080728242232856,32505.294296
Kara,Bassar,Baghan,3,34.0,0.0963115977930474,2175.808166
Kara,Bassar,Bassar,3,49.0,0.2867472626170452,45754.087907
Kara,Bassar,Kalanga,3,36.9,0.1217995517099972,6009.831366
Kara,Bassar,Dimori,3,39.1,0.1501570982261818,11032.401758
Kara,Bassar,Bitchabe,3,37.6,0.134026107701726,6206.325055
Kara,Bassar,Bangeli,3,36.9,0.0962151760783427,14879.06771
Kara,Bassar,Manga,0,36.1,0.117318104136766,5788.695273
Kara,Bassar,Kabou,0,43.4,0.1863497329975026,29360.07956
Kara,Bassar,Sanda-Afohou,0,35.1,0.0834486068385742,4528.939905
Kara,Bassar,Sanda-Kagbanda,0,36.2,0.0988316967464076,7078.5653330000005
Kara,Binah,Solla,0,34.9,0.0668354912727135,9581.901087
Kara,Binah,Pessaré,0,34.6,0.0639917441187818,5023.636809
