region,prefecture,commune,canton,total_pop,FRI,max_fsi,min_rwi,urban_ratio,building_count,min_dist_basin,nb_ouvrages_documentes,ouvrages_pour_10000_hab,pression_actuelle,priority_score,segment,risque_eleve,canton_id
Maritime,Lacs,Lacs 4,Fiata,21109.450521,0.08385405217716504,156.6208953857422,-0.343,0.0,0.0,0.0,1.0,0.4737214732354994,10554.7252605,31.3,Maintenance et renforcement urgents,False,35
Maritime,Lacs,Lacs 4,Ganavé,13326.048686,0.07883543587835735,156.94908142089844,-0.404,0.0,0.0,993.2984998122015,1.0,0.7504099854074329,6663.024343,29.2,Surveillance,False,36
Maritime,Vo,Vo 1,Vogan,58675.742912,0.24144304608030634,157.71360778808594,-0.439,0.03898595998550513,13.0,0.0,3.0,0.5112845361837691,14668.935728,39.1,Maintenance et renforcement urgents,True,37
Maritime,Vo,Vo 1,Vo-Koutimé,17235.135028,0.07552516583013105,92.39837646484375,-0.456,0.0,0.0,0.0,3.0,1.74063040128565,4308.783757,23.4,Surveillance,False,38
Maritime,Vo,Vo 2,Togoville,22257.389248,0.12052462137294964,157.71360778808594,-0.322,0.0,14.0,6782.097264206559,2.0,0.8985779858164252,7419.129749333333,29.8,Renforcement (vulnerabilite aux inondations),True,39
Maritime,Vo,Vo 2,Anyron-Kopé,8283.121792,0.08423629410296238,157.71360778808594,-0.594,0.0,2.0,8108.2509232586735,0.0,0.0,8283.121792,35.1,Surveillance,False,40
Maritime,Vo,Vo 3,Dagbati,26317.452928000002,0.08746017833982817,148.51626586914062,-0.725,0.0,0.0,3260.834084084971,1.0,0.37997598123793624,13158.726464000001,34.6,Maintenance et renforcement urgents,False,41
Maritime,Vo,Vo 3,Dzrékpo,16098.905780000001,0.09080952168892195,87.95797729492188,-0.275,0.0,4.0,4286.618029583529,1.0,0.6211602289407273,8049.4528900000005,30.0,Renforcement (vulnerabilite aux inondations),False,42
Maritime,Vo,Vo 3,Mome-Hounkpati,6907.74592,0.06519763351546173,91.07096099853516,-0.296,0.0,0.0,1948.443558576601,0.0,0.0,6907.74592,32.4,Surveillance,False,43
Maritime,Vo,Vo 4,Sévagan,9634.455732,0.11167812802169642,157.71360778808594,-0.188,0.0,18.0,1836.0116994261252,0.0,0.0,9634.455732,34.0,Surveillance,True,44
Maritime,Vo,Vo 4,Hahotoé,13187.825217000001,0.18574693119704924,150.69110107421875,-0.475,0.09482260023996514,4.0,2163.1024846559962,0.0,0.0,13187.825217000001,39.0,Nouveaux ouvrages prioritaires,True,45
Maritime,Vo,Vo 4,Akoumapé,16659.454464000002,0.103887579319285,154.20314025878906,-0.471,0.0,5.0,3102.1711425665926,0.0,0.0,16659.454464000002,36.2,Nouveaux ouvrages prioritaires,False,46
Maritime,Yoto,Yoto 1,Tabligbo,39263.419327999996,0.254562141100179,92.42646789550781,-0.371,0.11319183169825972,21.0,0.0,0.0,0.0,39263.419327999996,44.3,Nouveaux ouvrages prioritaires,True,47
Maritime,Yoto,Yoto 1,Amoussimé,13435.210496,0.0724730344021067,91.0903091430664,-0.536,0.0,0.0,1311.8650605341984,0.0,0.0,13435.210496,34.9,Nouveaux ouvrages prioritaires,False,48
Maritime,Yoto,Yoto 1,Kouvé,17162.37982,0.21045706552803212,90.25726318359375,-0.904,0.0,1023.0,0.0,0.0,0.0,17162.37982,42.9,Nouveaux ouvrages prioritaires,True,49
Maritime,Yoto,Yoto 1,Kini-Kondji,6192.610048,0.07154822868472492,157.2406463623047,-0.554,0.0,0.0,0.0,0.0,0.0,6192.610048,34.1,Surveillance,False,50
Maritime,Yoto,Yoto 2,Tchékpo,16090.519551999998,0.07621360960744904,84.66444396972656,-1.01,0.0,0.0,0.0,0.0,0.0,16090.519551999998,38.1,Nouveaux ouvrages prioritaires,False,51
Maritime,Yoto,Yoto 2,Ahépé,12716.550399999998,0.0758939696989098,82.88844299316406,-0.453,0.0,1.0,4798.25748127858,0.0,0.0,12716.550399999998,34.5,Nouveaux ouvrages prioritaires,False,52
Maritime,Yoto,Yoto 2,Zafi,12272.711888999998,0.07292832297317084,88.32516479492188,-0.708,0.0,0.0,2064.254246924526,0.0,0.0,12272.711888999998,35.8,Nouveaux ouvrages prioritaires,False,53
Maritime,Yoto,Yoto 3,Gboto,13883.2064,0.07219509263261147,86.43934631347656,-0.691,0.0,0.0,2509.818690870166,0.0,0.0,13883.2064,35.8,Nouveaux ouvrages prioritaires,False,54
Maritime,Yoto,Yoto 3,Tométy-Kondji,5378.8307939999995,0.0697389567716938,151.92446899414062,-0.551,0.0,0.0,3160.718180688998,0.0,0.0,5378.8307939999995,33.9,Surveillance,False,55
Maritime,Yoto,Yoto 3,Sendome,7528.845348999999,0.0743426936326593,152.39743041992188,-0.622,0.0,0.0,0.0,0.0,0.0,7528.845348999999,34.7,Surveillance,False,56
Maritime,Yoto,Yoto 3,Essé-Godjin,11335.089533999999,0.11377699761486522,152.39743041992188,-0.803,0.0,12.0,0.0,0.0,0.0,11335.089533999999,37.8,Nouveaux ouvrages prioritaires,True,57
Maritime,Yoto,Yoto 3,Tokpli,14721.148223999999,0.1200441026813082,151.92446899414062,-0.453,0.0,18.0,0.0,0.0,0.0,14721.148223999999,36.5,Nouveaux ouvrages prioritaires,True,58
Maritime,Zio,Zio 1,Tsévié,37729.040916,0.3866936805521157,88.30238342285156,-0.505,0.1374738775546814,303.0,0.0,0.0,0.0,37729.040916,50.1,Nouveaux ouvrages prioritaires,True,59
Maritime,Zio,Zio 1,Davié,28583.883547,0.246001100998334,87.73065948486328,-0.514,0.09163388311817411,27.0,1609.8799870556606,0.0,0.0,28583.883547,43.5,Nouveaux ouvrages prioritaires,True,60
Maritime,Zio,Zio 1,Gblainvié,6031.635099,0.07305879648365068,148.50376892089844,-0.826,0.0,0.0,0.0,0.0,0.0,6031.635099,35.7,Surveillance,False,61
Maritime,Zio,Zio 1,Abobo,32764.208586,0.2638163542295847,156.25021362304688,-0.715,0.08088970628112378,20.0,0.0,0.0,0.0,32764.208586,45.9,Nouveaux ouvrages prioritaires,True,62
Maritime,Zio,Zio 1,Djagblé,22871.121645,0.32354597291950304,148.20352172851562,0.013,0.6317846937862346,26.0,0.0,0.0,0.0,22871.121645,42.8,Nouveaux ouvrages prioritaires,True,63
Maritime,Zio,Zio 1,Kpomé,11851.60549,0.10138462524064328,151.63290405273438,-0.18,0.0,7.0,0.0,0.0,0.0,11851.60549,33.8,Nouveaux ouvrages prioritaires,False,64
